Nest,Species,NumTreelt1in,NumTree1to3in,NumTree3to6in,NumTree6to9in,NumTree9to15in,NumTreegt15in,NumSnags,NumDownSnags,PctShrubCover,NumConifer,StandType
0,Non-nest,21,66,13,0,0,0,59,89,0,12,0
0,Non-nest,48,607,2,0,0,0,0,4,0.2,2,0
0,Non-nest,30,428,8,0,0,0,0,2,0.2,0,1
0,Non-nest,23,42,43,1,0,0,93,54,0.2,3,0
1,Flicker,0,0,0,0,0,0,0,1,0.4,0,1
1,Chickadee,46,13,6,9,11,0,3,15,0,0,1
1,Chickadee,2,66,7,4,7,3,2,15,0,4,0
1,Chickadee,13,43,10,5,4,4,7,27,0,11,0
1,Chickadee,26,91,4,2,2,0,2,4,0.1,7,0
1,Sapsucker,3,3,5,10,4,1,0,11,0.3,4,0
1,Sapsucker,54,128,2,14,2,0,9,23,0,0,1
1,Sapsucker,0,4,15,11,7,1,3,12,0,0,1
1,Sapsucker,106,1,2,6,13,2,4,5,0,0,1
